household_id,year,county,annual_income_usd,rent_burden_ratio,eviction_notice,prior_homeless_experience,num_children,any_disability,eviction_filed_next_6mo
10048,2022,Arlington,20884.36,0.511,0,0,2.0,0,0
10049,2022,Arlington,17555.17,0.5,0,1,3.0,0,1
10050,2022,Arlington,13525.3,0.153,0,0,1.0,0,0
10051,2022,Arlington,42266.66,0.289,0,0,0.0,0,0
10052,2022,Arlington,15843.22,0.32,0,0,1.0,0,1
10053,2022,Arlington,9583.15,0.177,0,0,0.0,0,0
10054,2022,Arlington,25801.27,0.206,0,0,0.0,0,0
10055,2022,Arlington,14148.67,0.185,0,0,1.0,0,0
10056,2022,Arlington,48287.75,0.571,1,0,1.0,0,1
10057,2022,Arlington,22795.5,0.32,0,0,0.0,0,0
10058,2022,Arlington,,0.508,0,0,0.0,0,0
10059,2022,Arlington,8231.7,0.32,0,0,0.0,1,0
10060,2022,Arlington,18189.35,0.231,0,0,0.0,0,0
10061,2022,Arlington,,0.592,0,0,1.0,0,0
10062,2022,Arlington,25323.7,0.514,0,0,0.0,0,0
10063,2022,Arlington,33891.12,,0,0,1.0,0,0
10064,2022,Arlington,35934.2,0.42,0,0,1.0,0,1
10065,2022,Arlington,,0.231,0,0,1.0,0,0
10066,2022,Arlington,18347.47,0.424,0,0,0.0,0,0
10067,2022,Arlington,20421.64,0.19,0,0,1.0,0,0
10068,2022,Arlington,30679.9,0.396,0,0,1.0,0,1
10069,2022,Arlington,14712.17,0.298,0,0,1.0,0,0
10070,2022,Arlington,19532.52,0.252,0,0,1.0,1,0
10071,2022,Arlington,9557.35,0.37,0,0,3.0,0,0
10072,2022,Arlington,40007.51,0.573,0,0,,0,1
10073,2022,Arlington,16686.34,0.453,0,0,1.0,0,0
10074,2022,Arlington,10854.84,0.281,0,0,0.0,1,0
10075,2022,Arlington,24569.65,0.581,0,0,3.0,0,0
10076,2022,Arlington,32091.33,0.528,0,0,2.0,0,0
10077,2022,Arlington,12164.38,0.408,0,0,0.0,1,0
10078,2022,Arlington,36461.13,0.419,0,0,1.0,0,0
10079,2022,Arlington,16734.0,0.5,1,0,1.0,0,0
10080,2022,Arlington,12286.21,,0,0,2.0,0,0
10081,2022,Arlington,28574.69,0.474,1,0,0.0,0,1
10082,2022,Arlington,18333.12,0.39,0,0,0.0,0,0
10083,2022,Arlington,15484.41,0.586,0,0,2.0,0,0
10084,2022,Arlington,19444.47,0.388,0,0,0.0,0,0
10085,2022,Arlington,76943.18,0.188,0,0,1.0,0,0
10086,2022,Arlington,7843.64,0.482,0,0,1.0,0,0
10087,2022,Arlington,22342.12,0.483,0,0,2.0,0,0
10088,2022,Arlington,15059.9,0.198,0,0,0.0,0,0
10089,2022,Arlington,20674.0,0.178,0,0,,0,0
10090,2022,Arlington,39686.74,0.268,0,0,1.0,0,0
10091,2022,Arlington,19805.42,0.292,0,0,0.0,0,1
10092,2022,Arlington,48984.98,0.278,0,0,2.0,0,1
10093,2022,Arlington,32894.61,0.175,0,0,2.0,0,0
10094,2022,Arlington,31267.99,0.195,0,1,1.0,0,0
10095,2022,Arlington,89978.61,0.57,0,0,2.0,0,1
10096,2022,Arlington,24962.94,0.209,0,0,,0,0
10097,2022,Arlington,33009.74,0.363,0,0,0.0,0,0
10098,2022,Arlington,18139.13,0.242,0,0,1.0,0,0
10099,2022,Arlington,18905.17,0.517,1,0,2.0,0,0
10100,2022,Arlington,23945.09,0.314,0,0,0.0,0,0
10101,2022,Arlington,27138.2,0.568,0,0,1.0,0,0
10102,2022,Arlington,43283.92,0.589,0,0,2.0,1,1
10103,2022,Arlington,34306.69,0.297,0,0,1.0,0,0
10104,2022,Arlington,20483.49,0.363,0,0,1.0,0,0
10105,2022,Arlington,18764.47,0.218,0,0,1.0,0,0
10106,2022,Arlington,19131.64,0.316,1,0,2.0,0,0
10107,2022,Arlington,23138.41,0.539,0,0,2.0,0,1
10108,2022,Arlington,15019.36,0.397,0,0,0.0,0,0
10109,2022,Arlington,21649.53,0.175,0,0,0.0,0,0
10110,2022,Arlington,13689.24,0.208,0,0,1.0,0,0
10111,2022,Arlington,16285.9,0.573,0,1,1.0,1,0
10112,2022,Arlington,13547.05,0.233,0,0,1.0,0,0
10113,2022,Arlington,35995.88,0.343,0,0,0.0,0,1
10114,2022,Arlington,41858.41,0.365,0,0,1.0,0,1
10115,2022,Arlington,6547.27,0.583,0,0,0.0,1,0
10116,2022,Arlington,9667.92,0.276,0,1,0.0,0,0
10117,2022,Arlington,29800.97,0.22,0,0,0.0,0,0
10118,2022,Arlington,20336.19,0.407,1,0,2.0,0,1
10119,2022,Arlington,27310.67,0.392,0,0,1.0,0,1
10120,2022,Arlington,25905.99,0.39,0,0,3.0,0,0
10121,2022,Arlington,8938.01,0.463,0,1,1.0,0,0
10122,2022,Arlington,10081.76,0.344,0,0,2.0,0,0
10123,2022,Arlington,12213.17,,0,0,0.0,0,0
10124,2022,Arlington,28183.54,0.407,0,0,2.0,0,0
10125,2022,Arlington,21402.03,0.192,0,0,1.0,1,1
10126,2022,Arlington,15135.82,0.553,1,0,0.0,0,0
10127,2022,Arlington,,0.273,0,0,0.0,0,0
10128,2022,Arlington,20982.3,0.294,0,0,2.0,0,1
10129,2022,Arlington,8126.91,0.259,0,0,1.0,0,0
10130,2022,Arlington,46843.4,0.245,0,0,2.0,0,1
10131,2022,Arlington,29816.08,0.183,0,0,2.0,0,0
10132,2022,Arlington,17822.21,0.467,0,0,3.0,0,0
10133,2022,Arlington,11127.68,0.293,0,0,3.0,0,0
10134,2022,Arlington,23795.38,0.154,0,0,2.0,0,0
10135,2022,Arlington,18615.01,0.351,0,0,1.0,0,0
10136,2022,Arlington,27202.23,0.274,0,0,2.0,0,0
10137,2022,Arlington,47975.27,0.173,0,0,0.0,0,0
10138,2022,Arlington,12371.29,0.359,0,0,2.0,0,0
10139,2022,Arlington,14435.36,0.495,0,0,2.0,0,0
10140,2022,Arlington,23117.34,0.187,0,0,1.0,0,0
10141,2022,Arlington,18732.85,0.224,0,0,2.0,0,0
10142,2022,Arlington,23826.74,0.432,0,0,0.0,0,0
10143,2022,Arlington,24054.92,0.267,0,0,3.0,0,0
10144,2022,Arlington,10953.6,0.599,0,0,1.0,0,0
10145,2022,Arlington,40580.08,0.526,1,1,0.0,0,1
10146,2022,Arlington,14190.93,0.443,1,0,1.0,0,0
10147,2022,Arlington,26220.52,0.466,0,0,1.0,1,0
10148,2022,Arlington,25110.3,0.18,0,0,1.0,0,0
10149,2022,Arlington,8310.04,0.472,0,0,0.0,0,0
10150,2022,Arlington,36340.32,0.551,0,0,0.0,0,0
10151,2022,Arlington,25141.93,0.26,0,0,1.0,0,0
10152,2022,Arlington,29025.88,0.172,0,0,1.0,0,0
10153,2022,Arlington,30949.59,0.412,0,0,0.0,0,0
10154,2022,Arlington,23106.47,,0,0,1.0,0,0
10155,2022,Arlington,16372.16,0.432,0,0,1.0,0,0
10156,2022,Arlington,26676.57,0.536,1,0,0.0,0,1
10157,2022,Arlington,14729.69,0.41,0,0,2.0,0,0
10158,2022,Arlington,34520.51,0.291,0,0,1.0,0,0
10159,2022,Arlington,11112.42,0.256,0,0,0.0,0,0
10160,2022,Arlington,34220.27,,0,0,0.0,0,0
10161,2022,Arlington,22041.07,0.49,0,0,2.0,0,0
10162,2022,Arlington,9978.68,0.562,0,0,0.0,0,0
10163,2022,Arlington,27078.61,0.226,0,0,2.0,0,0
10164,2022,Arlington,20151.64,0.508,0,0,1.0,0,0
10165,2022,Arlington,13955.02,0.566,1,0,2.0,0,0
10166,2022,Arlington,35821.69,,0,1,0.0,0,1
10167,2022,Arlington,20842.14,0.591,1,0,0.0,0,0
10168,2022,Arlington,23471.6,0.322,0,0,1.0,0,1
10169,2022,Arlington,23005.42,0.573,0,0,1.0,0,0
10170,2022,Arlington,24746.41,0.474,0,0,0.0,0,0
10171,2022,Arlington,31583.37,0.216,0,0,1.0,0,0
10172,2022,Arlington,32726.15,0.6,0,0,3.0,0,1
10173,2022,Arlington,16558.91,0.59,1,0,0.0,0,0
10174,2022,Arlington,17599.01,0.19,0,1,1.0,0,1
10175,2022,Arlington,39445.04,0.519,0,0,0.0,0,1
10176,2022,Arlington,21960.98,0.529,0,0,1.0,0,0
10177,2022,Arlington,32597.84,0.182,0,0,3.0,0,0
10178,2022,Arlington,19771.95,0.422,0,0,0.0,0,0
10179,2022,Arlington,35197.8,0.543,0,0,,0,1
10180,2022,Arlington,19287.05,0.493,0,0,0.0,0,0
10181,2022,Arlington,36984.63,0.383,0,0,1.0,0,0
10182,2022,Arlington,26321.11,0.245,0,0,2.0,0,0
10183,2022,Arlington,41388.55,0.352,0,0,1.0,1,0
10184,2022,Arlington,87943.18,0.563,1,0,2.0,0,1
10185,2022,Arlington,16370.95,0.261,0,0,2.0,0,0
10186,2022,Arlington,14767.51,0.43,0,0,0.0,0,0
10187,2022,Arlington,19460.52,0.567,0,0,1.0,1,0
10188,2022,Arlington,30520.48,0.199,0,0,1.0,0,0
10189,2022,Arlington,9743.27,0.453,0,0,0.0,0,0
10190,2022,Arlington,34501.97,0.245,0,0,1.0,0,0
10191,2022,Arlington,38758.68,0.585,0,0,0.0,0,0
10192,2022,Arlington,20021.54,0.506,0,0,1.0,0,0
10193,2022,Arlington,,0.515,0,0,1.0,0,1
10194,2022,Arlington,16249.62,0.512,1,0,1.0,0,0
10195,2022,Arlington,29621.78,0.409,0,0,1.0,0,0
10196,2022,Arlington,31615.84,0.45,0,0,1.0,0,0
10197,2022,Arlington,23292.8,0.458,0,0,1.0,0,0
10198,2022,Arlington,25475.53,0.221,0,0,0.0,0,0
10199,2022,Arlington,35557.98,0.512,1,1,1.0,0,1
10200,2022,Arlington,59840.37,0.19,0,0,1.0,0,0
10201,2022,Arlington,60710.37,0.544,0,0,0.0,0,1
10202,2022,Arlington,15792.48,0.438,0,0,1.0,0,0
10203,2022,Arlington,,0.207,0,0,2.0,0,0
10204,2022,Arlington,22279.64,0.578,0,0,2.0,0,1
10205,2022,Arlington,31848.85,0.524,0,0,1.0,0,1
10206,2022,Arlington,7745.35,0.198,0,0,0.0,0,0
10207,2022,Arlington,20228.97,0.288,0,0,1.0,0,0
10208,2022,Arlington,,0.266,0,0,,0,0
10209,2022,Arlington,26589.06,0.339,0,0,1.0,0,0
10210,2022,Arlington,18442.98,0.543,0,0,0.0,1,0
10211,2022,Arlington,27103.34,0.23,0,0,0.0,1,1
10212,2022,Arlington,30949.36,0.395,0,0,2.0,0,0
10213,2022,Arlington,19941.84,0.201,0,1,2.0,0,0
10214,2022,Arlington,14510.67,0.49,0,0,0.0,0,0
10215,2022,Arlington,10672.49,0.57,0,0,1.0,0,0
10216,2022,Arlington,16631.92,0.381,0,0,2.0,0,0
10217,2022,Arlington,27992.18,0.234,0,0,1.0,0,0
10218,2022,Arlington,13052.45,0.318,0,0,2.0,0,0
10219,2022,Arlington,14552.84,,0,0,1.0,0,0
10220,2022,Arlington,16252.42,0.417,0,0,1.0,0,0
10221,2022,Arlington,13263.35,0.284,0,0,3.0,0,0
10222,2022,Arlington,30219.03,0.244,0,0,2.0,0,1
10223,2022,Arlington,17377.14,0.266,0,0,0.0,0,0
10224,2022,Arlington,9468.7,0.498,0,0,1.0,0,0
10225,2022,Arlington,12581.42,0.468,0,0,0.0,0,0
10226,2022,Arlington,,0.56,0,0,1.0,0,1
10227,2022,Arlington,8686.11,0.54,1,0,0.0,0,0
10228,2022,Arlington,29545.77,0.225,0,0,0.0,0,0
10229,2022,Arlington,44671.62,0.302,0,0,2.0,0,0
10230,2022,Arlington,22061.16,0.592,0,0,1.0,1,0
10231,2022,Arlington,40741.2,0.397,0,0,0.0,0,1
10232,2022,Arlington,28126.39,0.403,0,0,0.0,0,1
10233,2022,Arlington,17533.15,0.344,1,0,0.0,0,1
10234,2022,Arlington,32872.2,0.547,0,0,1.0,0,1
10235,2022,Arlington,18104.38,0.368,0,0,1.0,0,0
10236,2022,Arlington,17062.71,0.386,0,0,0.0,1,0
10237,2022,Arlington,38965.49,0.41,0,0,1.0,0,0
10238,2022,Arlington,20797.72,0.36,0,0,2.0,0,0
10239,2022,Arlington,29242.72,0.226,0,0,0.0,0,0
10240,2022,Arlington,37206.6,0.338,0,0,3.0,0,0
10241,2022,Arlington,28110.19,0.406,1,1,1.0,1,0
10242,2022,Arlington,21397.86,0.258,0,0,1.0,0,0
10243,2022,Arlington,,0.524,0,0,2.0,0,0
10244,2022,Arlington,24741.65,0.389,0,0,1.0,0,0
10245,2022,Arlington,34570.23,0.276,0,0,1.0,0,1
10246,2022,Arlington,21865.31,0.298,0,0,2.0,0,0
10247,2022,Arlington,8948.57,0.55,0,0,2.0,0,0
10248,2022,Arlington,11670.39,0.341,0,0,3.0,0,0
10249,2022,Arlington,17686.08,0.346,0,0,1.0,0,0
10250,2022,Arlington,,0.403,0,0,0.0,0,1
10251,2022,Arlington,22987.23,0.159,0,0,1.0,1,0
10252,2022,Arlington,22977.24,0.528,1,0,0.0,1,0
10253,2022,Arlington,15416.72,0.427,0,0,1.0,0,1
10254,2022,Arlington,32964.38,0.175,0,0,4.0,1,0
10255,2022,Arlington,16313.44,0.566,0,0,1.0,0,0
10256,2022,Arlington,,0.578,0,0,2.0,0,0
10257,2022,Arlington,10914.86,0.585,0,0,0.0,0,0
10258,2022,Arlington,19209.02,0.188,0,0,3.0,0,0
10259,2022,Arlington,21869.86,0.51,0,0,3.0,0,0
10260,2022,Arlington,16530.29,0.18,1,0,1.0,0,0
10261,2022,Arlington,28802.2,0.556,1,0,0.0,0,0
10262,2022,Arlington,20929.89,0.423,0,0,1.0,0,0
10263,2022,Arlington,36133.46,0.402,0,0,1.0,0,0
10264,2022,Arlington,14175.74,0.174,0,1,0.0,0,0
10265,2022,Arlington,44448.34,0.41,0,0,2.0,0,1
10266,2022,Arlington,27723.26,0.272,0,0,3.0,0,0
10267,2022,Arlington,24667.77,0.362,0,0,2.0,0,1
10268,2022,Arlington,14425.93,0.203,0,0,1.0,0,0
10269,2022,Arlington,34990.65,0.513,0,0,0.0,0,1
10270,2022,Arlington,32209.33,0.494,0,0,0.0,0,0
10271,2022,Arlington,18086.52,0.317,0,0,0.0,0,0
10272,2022,Arlington,42632.62,0.227,0,0,2.0,0,0
10273,2022,Arlington,23973.1,0.386,0,0,2.0,0,0
10274,2022,Arlington,21733.81,0.553,0,0,4.0,0,0
10275,2022,Arlington,45622.86,0.23,0,0,0.0,0,0
10276,2022,Arlington,29911.44,0.349,0,0,2.0,0,0
10277,2022,Arlington,9294.36,0.209,0,0,0.0,0,0
10278,2022,Arlington,26383.99,0.264,0,0,1.0,0,0
10279,2022,Arlington,35740.91,0.462,0,0,1.0,0,1
10280,2022,Arlington,30902.87,0.511,0,0,1.0,0,0
10281,2022,Arlington,12838.77,,0,0,0.0,0,0
10282,2022,Arlington,22920.5,0.448,1,0,0.0,0,1
10283,2022,Arlington,32190.03,0.536,0,0,1.0,0,0
10284,2022,Arlington,57162.25,0.19,0,0,3.0,1,0
10285,2022,Arlington,10742.4,0.222,0,0,0.0,0,0
10286,2022,Arlington,37876.99,0.365,1,0,0.0,1,1
10287,2022,Arlington,24468.74,0.279,0,0,0.0,0,0
10288,2022,Arlington,25036.38,0.6,0,0,0.0,0,0
10289,2022,Arlington,40000.83,0.507,1,1,0.0,1,1
10290,2022,Arlington,13004.91,0.343,0,0,2.0,0,0
10291,2022,Arlington,27279.95,0.376,0,0,4.0,0,0
10292,2022,Arlington,9739.96,0.36,0,1,0.0,0,0
10293,2022,Arlington,14009.99,0.176,0,0,1.0,0,0
10294,2022,Arlington,8783.34,0.292,0,0,0.0,0,0
10295,2022,Arlington,14656.53,0.209,0,0,2.0,0,1
10296,2022,Arlington,16946.56,0.246,0,0,1.0,0,0
10297,2022,Arlington,28836.82,0.557,0,0,1.0,1,0
10298,2022,Arlington,18443.03,0.352,0,0,0.0,1,0
10299,2022,Arlington,11500.91,0.502,0,0,1.0,1,0
10300,2022,Arlington,8549.42,0.327,0,0,2.0,0,0
10301,2022,Arlington,25738.56,0.535,0,0,0.0,0,0
10302,2022,Arlington,15448.77,0.295,0,0,1.0,0,0
10303,2022,Arlington,30403.03,0.379,0,0,2.0,1,1
10304,2022,Arlington,10632.38,0.24,0,0,0.0,0,0
10305,2022,Arlington,17840.08,0.511,1,0,2.0,0,0
10306,2022,Arlington,17897.43,0.56,0,0,1.0,0,0
10307,2022,Arlington,12542.53,0.427,0,0,,0,0
10308,2022,Arlington,13119.37,0.576,0,0,2.0,0,0
10309,2022,Arlington,19895.91,0.453,0,0,1.0,0,1
10310,2022,Arlington,,0.153,0,0,2.0,1,0
10311,2022,Arlington,11553.44,0.33,0,0,0.0,0,0
10312,2022,Arlington,44516.49,0.362,0,0,0.0,0,0
10313,2022,Arlington,12036.57,0.346,0,0,1.0,0,0
10314,2022,Arlington,17295.32,0.343,0,0,0.0,1,0
10315,2022,Arlington,33553.3,0.258,0,0,3.0,0,0
10316,2022,Arlington,27469.03,0.495,0,0,,0,0
10317,2022,Arlington,17875.69,0.263,0,0,0.0,0,0
10318,2022,Arlington,20138.21,0.31,0,0,4.0,0,1
10319,2022,Arlington,20847.67,0.323,0,0,0.0,0,0
10320,2022,Arlington,40618.32,0.269,0,0,,0,0
10321,2022,Arlington,19954.1,0.57,0,0,0.0,0,0
10322,2022,Arlington,22874.73,0.568,0,0,0.0,0,0
10323,2022,Arlington,37213.69,0.555,1,0,2.0,0,1
10324,2022,Arlington,21995.8,0.22,0,0,1.0,0,0
10325,2022,Arlington,16872.74,0.232,0,0,2.0,0,0
10326,2022,Arlington,65791.73,0.158,0,0,0.0,0,0
10327,2022,Arlington,19597.31,0.565,0,0,1.0,0,0
10328,2022,Arlington,27030.45,0.154,0,1,1.0,0,0
10329,2022,Arlington,19180.78,0.26,0,0,2.0,0,0
10330,2022,Arlington,24146.62,0.407,1,0,2.0,0,0
10331,2022,Arlington,17904.46,0.275,0,0,0.0,0,0
10332,2022,Arlington,21480.81,0.482,1,0,1.0,1,0
10333,2022,Arlington,11789.48,0.499,0,0,2.0,0,0
10334,2022,Arlington,18585.19,0.583,1,0,2.0,0,0
10335,2022,Arlington,24730.78,0.478,0,0,2.0,0,0
10336,2022,Arlington,14215.37,0.367,0,0,1.0,0,1
10337,2022,Arlington,14722.03,0.497,0,0,0.0,0,0
10338,2022,Arlington,15311.19,0.565,0,0,1.0,0,0
10339,2022,Arlington,31658.38,0.377,0,0,1.0,0,1
10340,2022,Arlington,20445.67,0.211,0,0,1.0,0,0
10341,2022,Arlington,28405.24,0.322,0,0,0.0,0,0
10342,2022,Arlington,25999.27,0.405,0,0,2.0,0,0
10343,2022,Arlington,13048.41,,1,0,0.0,1,0
10344,2022,Arlington,21747.47,0.171,0,0,1.0,0,0
10345,2022,Arlington,19760.11,0.345,0,0,0.0,0,0
10346,2022,Arlington,23489.63,0.538,0,0,2.0,1,0
10347,2022,Arlington,18530.38,,0,0,1.0,0,0
10348,2022,Arlington,17606.43,0.368,0,0,2.0,0,0
10349,2022,Arlington,11999.22,0.286,0,0,2.0,0,0
10350,2022,Arlington,22252.48,0.395,0,0,2.0,0,0
10351,2022,Arlington,10584.68,0.222,0,0,1.0,0,0
10352,2022,Arlington,9622.02,0.549,0,0,1.0,0,0
10353,2022,Arlington,17048.91,0.585,0,0,1.0,1,0
10354,2022,Arlington,15291.7,0.577,0,0,,0,0
10355,2022,Arlington,59112.54,0.482,0,0,0.0,0,0
10356,2022,Arlington,7389.04,0.255,0,0,,0,0
10357,2022,Arlington,25254.62,0.37,0,0,1.0,0,1
10358,2022,Arlington,19102.63,0.373,0,0,3.0,0,0
10359,2022,Arlington,20887.43,0.354,0,0,1.0,0,0
10360,2022,Arlington,38238.91,0.195,0,0,0.0,0,0
10361,2022,Arlington,45295.87,0.415,0,0,0.0,1,1
10362,2022,Arlington,12614.33,0.193,0,0,1.0,0,0
10363,2022,Arlington,40072.9,0.391,0,0,0.0,1,1
10364,2022,Arlington,30832.14,0.332,0,0,2.0,0,0
10365,2022,Arlington,53388.62,0.351,0,0,1.0,0,1
10366,2022,Arlington,24873.73,0.238,0,0,1.0,0,0
10367,2022,Arlington,17411.71,0.289,0,0,0.0,0,0
10368,2022,Arlington,20346.71,0.252,0,0,1.0,0,0
10369,2022,Arlington,24557.92,0.303,0,0,0.0,0,0
10370,2022,Arlington,6622.09,0.271,0,0,2.0,0,0
10371,2022,Arlington,44188.86,0.366,0,0,1.0,0,1
10372,2022,Arlington,39941.69,0.3,0,0,2.0,0,0
10373,2022,Arlington,48343.05,0.156,0,0,1.0,0,0
10374,2022,Arlington,50801.13,0.339,1,0,1.0,0,1
10375,2022,Arlington,14035.04,0.406,0,0,0.0,0,0
10376,2022,Arlington,28365.56,0.525,0,0,2.0,0,1
10377,2022,Arlington,59602.17,0.569,1,1,,0,1
10378,2022,Arlington,16592.13,0.258,0,0,1.0,0,0
10379,2022,Arlington,33621.46,0.31,0,0,2.0,0,0
10380,2022,Arlington,22038.69,0.528,0,0,1.0,0,0
10381,2022,Arlington,10175.96,0.178,0,1,0.0,0,0
10382,2022,Arlington,31304.98,0.467,1,0,1.0,0,1
10383,2022,Arlington,16918.41,0.235,0,0,3.0,0,0
10384,2022,Arlington,20861.41,0.394,0,0,0.0,0,0
10385,2022,Arlington,18230.69,0.471,1,0,1.0,0,0
10386,2022,Arlington,59616.35,0.338,0,0,0.0,0,0
10387,2022,Arlington,26808.03,0.476,1,0,1.0,0,1
10388,2022,Arlington,35219.73,0.23,0,0,0.0,0,0
10389,2022,Arlington,11949.33,0.431,0,0,0.0,0,0
10390,2022,Arlington,10746.36,0.352,0,0,3.0,0,0
10391,2022,Arlington,16486.93,0.381,0,0,2.0,0,0
10392,2022,Arlington,18790.74,0.297,0,0,0.0,0,0
10393,2022,Arlington,23348.53,0.347,0,0,2.0,0,0
10394,2022,Arlington,33193.73,0.472,0,0,1.0,0,1
10395,2022,Arlington,33145.2,0.375,0,0,3.0,0,0
10396,2022,Arlington,22862.53,0.383,0,0,1.0,0,1
10397,2022,Arlington,36783.92,0.388,0,0,0.0,0,1
10398,2022,Arlington,12548.64,0.527,0,0,,0,0
10399,2022,Arlington,12749.33,0.455,0,0,1.0,1,0
10400,2022,Arlington,11290.49,0.172,0,0,3.0,0,0
10401,2022,Arlington,42973.06,0.351,0,1,0.0,1,1
10402,2022,Arlington,22401.02,0.569,0,0,1.0,0,0
10403,2022,Arlington,25628.02,0.57,0,0,0.0,0,1
10404,2022,Arlington,24748.53,,0,0,0.0,0,0
10405,2022,Arlington,15382.22,0.481,0,0,1.0,0,0
10406,2022,Arlington,13671.32,0.46,0,0,0.0,0,0
10407,2022,Arlington,27629.17,0.547,1,0,1.0,0,0
10408,2022,Arlington,39573.11,0.277,0,0,2.0,0,0
10409,2022,Arlington,46585.7,0.3,0,0,3.0,0,1
10410,2022,Arlington,7558.61,0.566,0,0,1.0,0,0
10411,2022,Arlington,20476.46,0.477,0,0,,0,0
10412,2022,Arlington,31643.75,0.266,0,0,0.0,0,0
10413,2022,Arlington,27563.36,0.253,0,0,3.0,0,0
10414,2022,Arlington,18364.84,0.536,1,0,1.0,0,0
10415,2022,Arlington,51821.15,0.243,0,0,1.0,0,0
10416,2022,Arlington,24281.1,0.348,0,0,3.0,0,0
10417,2022,Arlington,37290.73,0.286,0,0,0.0,0,0
10418,2022,Arlington,10770.7,0.211,0,0,0.0,0,0
10419,2022,Arlington,,0.292,0,0,1.0,0,0
10420,2022,Arlington,23019.98,0.395,0,0,1.0,0,0
10421,2022,Arlington,35844.76,0.397,0,0,1.0,0,0
10422,2022,Arlington,12797.93,0.377,0,0,2.0,0,0
10423,2022,Arlington,18861.72,0.548,0,0,0.0,0,0
10424,2022,Arlington,17531.44,0.371,0,0,1.0,0,0
10425,2022,Arlington,41865.55,0.456,0,0,1.0,0,1
10426,2022,Arlington,30622.09,0.539,0,0,3.0,0,1
10427,2022,Arlington,17620.78,0.379,0,0,1.0,0,0
10428,2022,Arlington,18149.08,0.213,0,0,1.0,1,0
10429,2022,Arlington,,0.421,0,0,2.0,0,0
10430,2022,Arlington,18376.47,0.208,0,0,0.0,0,0
10431,2022,Arlington,31917.55,0.339,0,1,1.0,1,0
10432,2022,Arlington,33033.88,0.469,0,0,1.0,0,1
10433,2022,Arlington,34556.6,0.503,0,0,,0,1
10434,2022,Arlington,18520.14,0.244,0,0,0.0,0,0
10435,2022,Arlington,16433.93,0.193,0,0,1.0,0,0
10436,2022,Arlington,62124.1,0.25,0,0,1.0,0,1
